user_id,academic_year,branch,skills,quiz_q1_response,quiz_q2_response,quiz_q3_response,quiz_q4_response,quiz_q5_response,quiz_q6_response,quiz_q7_response,quiz_q8_response,quiz_q9_response,quiz_q10_response,visual_percent,auditory_percent,kinesthetic_percent,recommended_format,recommended_courses,recommended_books,recommended_blogs
5251,Final Year (BE),Computer Science Engineering,"Java, Figma, AWS",B,B,C,A,B,A,C,B,B,B,39,60,1,Podcasts,"Cybersecurity Basics, AWS Cloud Essentials, ML Bootcamp",Python Crash Course,"dev.to, towardsdatascience.com"
5252,Second Year (SE),Electronics and Computer Engineering,"Python, Docker",C,B,A,B,B,A,A,A,A,C,56,35,9,Videos,Intro to DSA,"You Don’t Know JS, Python Crash Course","medium.com, freecodecamp.org"
5253,First Year (FE),Artificial Intelligence and Machine Learning,"HTML, CSS, Docker, JavaScript",B,C,B,B,C,C,A,C,B,B,24,45,31,Podcasts,Intro to DSA,Design Patterns,medium.com
5254,Final Year (BE),Artificial Intelligence and Machine Learning,"Java, Python",A,A,B,B,B,B,A,A,B,C,21,72,7,Podcasts,Cybersecurity Basics,"Design Patterns, Clean Code","dev.to, freecodecamp.org"
5255,First Year (FE),Computer Science Engineering,"Python, HTML, Figma, Docker, Linux",A,A,B,A,C,B,B,B,B,B,36,49,15,Podcasts,"Intro to DSA, Frontend Crash Course",Design Patterns,dev.to
5256,Final Year (BE),Information Technology,"HTML, AWS, SQL, Linux",B,A,C,C,A,A,B,C,B,C,27,73,0,Podcasts,"Frontend Crash Course, Cybersecurity Basics",Python Crash Course,"towardsdatascience.com, freecodecamp.org"
5257,Third Year (TE),Artificial Intelligence and Machine Learning,"React, Linux, Python, C++, SQL",C,C,A,B,A,B,B,B,C,A,11,88,1,Podcasts,"Frontend Crash Course, AWS Cloud Essentials",AI: A Modern Approach,medium.com
5258,Third Year (TE),Computer Science Engineering,"CSS, Linux",A,B,A,B,C,C,C,B,A,C,31,24,45,Projects,"ML Bootcamp, Frontend Crash Course","Design Patterns, AI: A Modern Approach",towardsdatascience.com
5259,Third Year (TE),Artificial Intelligence and Machine Learning,"Linux, C++, HTML",C,C,A,C,C,A,B,A,A,C,24,50,26,Podcasts,Cybersecurity Basics,"You Don’t Know JS, Python Crash Course","medium.com, freecodecamp.org"
5260,First Year (FE),Artificial Intelligence and Machine Learning,"C++, Linux, Python",A,C,A,A,B,A,B,C,A,C,27,21,52,Projects,ML Bootcamp,"Design Patterns, AI: A Modern Approach",medium.com
5261,Third Year (TE),Electronics & Communication,"React, Figma, Python",C,A,B,C,A,B,C,B,C,A,41,23,36,Videos,ML Bootcamp,"Design Patterns, You Don’t Know JS",towardsdatascience.com
5262,Third Year (TE),Information Technology,"Linux, HTML, Java, SQL",A,B,A,A,A,B,A,B,B,C,29,61,10,Podcasts,"Cybersecurity Basics, Intro to DSA","AI: A Modern Approach, Design Patterns",dev.to
5263,Second Year (SE),Electronics & Communication,"CSS, Python, SQL, Linux",B,A,A,A,A,A,C,A,A,B,54,13,33,Videos,ML Bootcamp,Design Patterns,medium.com
5264,First Year (FE),Electronics and Computer Engineering,"HTML, Python, CSS",B,C,A,C,C,A,B,B,B,C,21,19,60,Projects,ML Bootcamp,You Don’t Know JS,towardsdatascience.com
5265,First Year (FE),Computer Science Engineering,"SQL, Python, Docker, Linux, CSS",B,C,B,B,B,C,A,A,B,A,57,20,23,Videos,"Intro to DSA, ML Bootcamp",AI: A Modern Approach,"freecodecamp.org, medium.com"
5266,Final Year (BE),Computer Science Engineering,"HTML, Linux, AWS, Figma",C,A,B,C,B,A,C,A,B,B,34,40,26,Podcasts,"Cybersecurity Basics, Frontend Crash Course",Python Crash Course,"freecodecamp.org, geeksforgeeks.org"
5267,First Year (FE),Electronics & Communication,"Python, AWS, Docker, Java, CSS",A,C,C,A,B,C,C,C,A,A,31,58,11,Podcasts,AWS Cloud Essentials,"Design Patterns, Python Crash Course","geeksforgeeks.org, towardsdatascience.com"
5268,Third Year (TE),Information Technology,"Python, C++, Java",B,A,A,C,C,B,A,C,B,A,60,31,9,Videos,"AWS Cloud Essentials, Intro to DSA",AI: A Modern Approach,"geeksforgeeks.org, towardsdatascience.com"
5269,Third Year (TE),Information Technology,"Docker, AWS",A,B,A,A,A,A,C,C,B,C,37,35,28,Videos,"ML Bootcamp, AWS Cloud Essentials, Intro to DSA",You Don’t Know JS,"dev.to, freecodecamp.org"
5270,Second Year (SE),Electronics and Computer Engineering,"Java, Python",B,C,C,C,C,C,C,B,A,B,47,10,43,Videos,"ML Bootcamp, Frontend Crash Course","Design Patterns, Python Crash Course","geeksforgeeks.org, medium.com"
5271,Final Year (BE),Electronics and Computer Engineering,"HTML, Linux, CSS",C,C,C,A,A,B,A,B,A,A,26,43,31,Podcasts,"AWS Cloud Essentials, Cybersecurity Basics","You Don’t Know JS, Design Patterns","dev.to, freecodecamp.org"
5272,Third Year (TE),Information Technology,"JavaScript, Linux, Docker, Java",C,A,B,C,A,B,C,C,C,C,47,44,9,Videos,Frontend Crash Course,Clean Code,"dev.to, freecodecamp.org"
5273,First Year (FE),Electronics and Computer Engineering,"Java, Figma",A,C,C,C,A,C,C,B,B,B,40,11,49,Projects,Frontend Crash Course,"Clean Code, You Don’t Know JS",dev.to
5274,Second Year (SE),Computer Science Engineering,"Docker, AWS, Java",A,C,B,B,A,B,C,B,B,C,30,26,44,Projects,"Intro to DSA, Cybersecurity Basics, Frontend Crash Course",AI: A Modern Approach,towardsdatascience.com
5275,Final Year (BE),Electronics & Communication,"Figma, CSS",B,B,B,B,C,B,B,B,A,B,12,34,54,Projects,"Cybersecurity Basics, Frontend Crash Course, ML Bootcamp","You Don’t Know JS, Design Patterns","towardsdatascience.com, geeksforgeeks.org"
5276,Final Year (BE),Electronics and Computer Engineering,"Java, HTML, CSS, React, Docker",B,A,B,C,A,C,A,B,C,A,11,88,1,Podcasts,"AWS Cloud Essentials, Intro to DSA","AI: A Modern Approach, Design Patterns","towardsdatascience.com, dev.to"
5277,First Year (FE),Computer Science Engineering,"AWS, Python",A,B,B,A,A,A,C,B,C,A,60,36,4,Videos,"Frontend Crash Course, Intro to DSA, ML Bootcamp",You Don’t Know JS,dev.to
5278,Final Year (BE),Computer Science Engineering,"SQL, Linux, C++",A,C,C,B,B,B,C,C,A,B,13,51,36,Podcasts,"ML Bootcamp, Intro to DSA, Cybersecurity Basics",You Don’t Know JS,"geeksforgeeks.org, freecodecamp.org"
5279,Final Year (BE),Electronics & Communication,"C++, Java, Docker, HTML",A,A,C,C,C,C,B,B,A,C,14,53,33,Podcasts,"Cybersecurity Basics, AWS Cloud Essentials",Clean Code,medium.com
5280,First Year (FE),Computer Science Engineering,"CSS, Docker, HTML, Java, React",A,A,B,B,A,A,A,A,B,C,39,48,13,Podcasts,Frontend Crash Course,Design Patterns,"medium.com, freecodecamp.org"
5281,Third Year (TE),Electronics and Computer Engineering,"Java, AWS",A,B,B,C,B,C,B,B,A,B,31,68,1,Podcasts,"Intro to DSA, Frontend Crash Course, ML Bootcamp","Clean Code, AI: A Modern Approach",freecodecamp.org
5282,First Year (FE),Information Technology,"JavaScript, Docker, HTML, AWS, Java",A,C,A,B,C,A,B,A,A,C,28,70,2,Podcasts,"Intro to DSA, Frontend Crash Course",You Don’t Know JS,medium.com
5283,First Year (FE),Artificial Intelligence and Machine Learning,"JavaScript, Linux",C,A,B,A,C,A,C,B,A,B,14,35,51,Projects,"AWS Cloud Essentials, Cybersecurity Basics, ML Bootcamp","Clean Code, Python Crash Course",freecodecamp.org
5284,Final Year (BE),Electronics and Computer Engineering,"Python, Docker",C,C,A,B,C,A,C,A,C,C,49,44,7,Videos,"Cybersecurity Basics, Intro to DSA, ML Bootcamp","AI: A Modern Approach, You Don’t Know JS","towardsdatascience.com, medium.com"
5285,Second Year (SE),Computer Science Engineering,"AWS, Java",C,B,B,A,B,B,A,B,C,B,35,63,2,Podcasts,Intro to DSA,Clean Code,towardsdatascience.com
5286,Second Year (SE),Artificial Intelligence and Machine Learning,"JavaScript, Docker, Figma",C,C,C,B,B,C,A,A,A,C,25,67,8,Podcasts,"Frontend Crash Course, ML Bootcamp, Cybersecurity Basics",AI: A Modern Approach,"freecodecamp.org, dev.to"
5287,Third Year (TE),Electronics & Communication,"AWS, Python, Java",C,A,C,A,C,B,A,B,B,B,25,61,14,Podcasts,Cybersecurity Basics,Python Crash Course,freecodecamp.org
5288,Third Year (TE),Artificial Intelligence and Machine Learning,"HTML, SQL, React, Docker",A,C,B,C,C,A,C,C,A,B,35,52,13,Podcasts,"Cybersecurity Basics, Frontend Crash Course, Intro to DSA","You Don’t Know JS, Design Patterns","medium.com, geeksforgeeks.org"
5289,Second Year (SE),Artificial Intelligence and Machine Learning,"Python, CSS, Java",B,A,B,C,B,B,C,A,C,C,54,26,20,Videos,Intro to DSA,"Clean Code, AI: A Modern Approach","geeksforgeeks.org, dev.to"
5290,Second Year (SE),Electronics & Communication,"AWS, HTML, React, Java, Linux",C,B,C,A,A,B,B,B,C,B,15,53,32,Podcasts,Intro to DSA,"You Don’t Know JS, Clean Code","geeksforgeeks.org, freecodecamp.org"
5291,First Year (FE),Information Technology,"Java, Linux, SQL, JavaScript, HTML",C,A,C,C,A,C,A,B,A,B,55,28,17,Videos,"Frontend Crash Course, Intro to DSA, ML Bootcamp","Python Crash Course, AI: A Modern Approach",geeksforgeeks.org
5292,Third Year (TE),Electronics & Communication,"C++, Java, Python",A,A,B,B,A,B,B,C,A,B,28,37,35,Podcasts,"AWS Cloud Essentials, Frontend Crash Course, Intro to DSA",Design Patterns,"freecodecamp.org, towardsdatascience.com"
5293,First Year (FE),Computer Science Engineering,"Java, React, Docker, Python, HTML",C,C,C,B,C,B,A,A,C,A,48,48,4,Videos,"Frontend Crash Course, Cybersecurity Basics","You Don’t Know JS, Python Crash Course","medium.com, freecodecamp.org"
5294,Final Year (BE),Electronics and Computer Engineering,"Linux, AWS, HTML, Figma, JavaScript",A,B,B,C,B,C,B,C,A,C,57,34,9,Videos,ML Bootcamp,"You Don’t Know JS, AI: A Modern Approach",towardsdatascience.com
5295,First Year (FE),Information Technology,"AWS, React, HTML",C,C,C,C,B,B,B,A,C,C,10,53,37,Podcasts,"AWS Cloud Essentials, Cybersecurity Basics, Frontend Crash Course","Clean Code, You Don’t Know JS",freecodecamp.org
5296,Second Year (SE),Electronics and Computer Engineering,"AWS, C++, JavaScript, HTML, Java",C,C,C,B,B,B,B,B,B,A,40,42,18,Podcasts,"AWS Cloud Essentials, ML Bootcamp","AI: A Modern Approach, Python Crash Course","dev.to, towardsdatascience.com"
5297,Second Year (SE),Electronics & Communication,"JavaScript, HTML, React, Linux",A,A,B,C,C,B,B,B,A,C,13,10,77,Projects,Intro to DSA,Clean Code,"geeksforgeeks.org, towardsdatascience.com"
5298,Third Year (TE),Computer Science Engineering,"Linux, Python, AWS, Docker, C++",A,B,B,C,A,C,A,C,B,B,60,37,3,Videos,Cybersecurity Basics,Clean Code,"dev.to, geeksforgeeks.org"
5299,Second Year (SE),Artificial Intelligence and Machine Learning,"JavaScript, Java, Figma, Python",B,B,B,C,A,C,C,C,C,C,57,32,11,Videos,ML Bootcamp,Clean Code,"dev.to, freecodecamp.org"
5300,Second Year (SE),Computer Science Engineering,"Linux, AWS, React, Java",B,B,A,A,B,A,B,C,A,B,53,43,4,Videos,"Intro to DSA, ML Bootcamp, AWS Cloud Essentials","AI: A Modern Approach, Python Crash Course","dev.to, medium.com"
5301,Third Year (TE),Computer Science Engineering,"Docker, Figma, C++, Java, AWS",C,A,A,C,C,C,B,C,A,A,31,62,7,Podcasts,"ML Bootcamp, Frontend Crash Course","Clean Code, Python Crash Course",towardsdatascience.com
5302,Third Year (TE),Information Technology,"Figma, SQL, AWS, Java",A,C,C,B,A,A,A,A,A,B,17,83,0,Podcasts,"Cybersecurity Basics, Frontend Crash Course, Intro to DSA","AI: A Modern Approach, Design Patterns",freecodecamp.org
5303,Final Year (BE),Electronics & Communication,"Linux, Figma, CSS, Java, AWS",B,C,A,C,B,A,C,A,C,C,17,67,16,Podcasts,"ML Bootcamp, Frontend Crash Course",You Don’t Know JS,"dev.to, medium.com"
5304,First Year (FE),Electronics and Computer Engineering,"CSS, Java, C++, Linux, SQL",B,A,A,B,C,C,C,B,B,B,31,16,53,Projects,Intro to DSA,Python Crash Course,"medium.com, freecodecamp.org"
5305,Second Year (SE),Information Technology,"Java, HTML",B,C,C,A,B,C,B,B,B,C,10,33,57,Projects,"Intro to DSA, Cybersecurity Basics, AWS Cloud Essentials","Clean Code, Design Patterns",freecodecamp.org
5306,Final Year (BE),Information Technology,"Figma, JavaScript, SQL",A,C,A,B,A,B,C,C,B,B,52,37,11,Videos,"Cybersecurity Basics, ML Bootcamp, Intro to DSA","Clean Code, Python Crash Course","freecodecamp.org, medium.com"
5307,Third Year (TE),Information Technology,"CSS, C++, Python, Docker, SQL",C,B,B,A,B,C,A,B,B,A,30,49,21,Podcasts,"AWS Cloud Essentials, Intro to DSA, Frontend Crash Course",You Don’t Know JS,"towardsdatascience.com, freecodecamp.org"
5308,First Year (FE),Information Technology,"SQL, JavaScript",B,C,B,C,B,B,A,C,C,C,51,34,15,Videos,Cybersecurity Basics,Python Crash Course,"medium.com, freecodecamp.org"
5309,Final Year (BE),Information Technology,"SQL, Docker, C++",A,B,B,A,C,B,C,A,C,A,14,14,72,Projects,"Cybersecurity Basics, Intro to DSA",Python Crash Course,towardsdatascience.com
5310,Final Year (BE),Information Technology,"CSS, SQL, Figma",B,A,B,A,A,C,A,C,C,B,49,31,20,Videos,AWS Cloud Essentials,"Design Patterns, AI: A Modern Approach",freecodecamp.org
5311,Third Year (TE),Electronics and Computer Engineering,"C++, Python",C,A,B,C,C,C,A,C,B,C,28,39,33,Podcasts,Cybersecurity Basics,"AI: A Modern Approach, Python Crash Course","freecodecamp.org, towardsdatascience.com"
5312,First Year (FE),Computer Science Engineering,"Python, JavaScript, Linux, Java",B,C,A,B,B,C,B,C,B,C,31,33,36,Projects,"AWS Cloud Essentials, Frontend Crash Course","AI: A Modern Approach, You Don’t Know JS","medium.com, geeksforgeeks.org"
5313,Final Year (BE),Computer Science Engineering,"Python, Linux",A,A,C,B,B,B,B,C,C,A,13,76,11,Podcasts,"AWS Cloud Essentials, ML Bootcamp, Cybersecurity Basics","Design Patterns, Python Crash Course","towardsdatascience.com, dev.to"
5314,Third Year (TE),Electronics & Communication,"SQL, Python",A,C,B,C,A,A,C,B,A,A,16,56,28,Podcasts,AWS Cloud Essentials,Clean Code,"geeksforgeeks.org, freecodecamp.org"
5315,Second Year (SE),Electronics & Communication,"React, Java, HTML, Figma",C,B,C,A,C,C,C,B,C,C,24,76,0,Podcasts,"Intro to DSA, ML Bootcamp","AI: A Modern Approach, You Don’t Know JS","medium.com, towardsdatascience.com"
5316,Final Year (BE),Artificial Intelligence and Machine Learning,"React, Java, Python, CSS",B,B,A,B,A,A,B,A,B,B,24,16,60,Projects,Cybersecurity Basics,Clean Code,freecodecamp.org
5317,First Year (FE),Artificial Intelligence and Machine Learning,"HTML, Linux, Java",C,A,A,B,C,B,B,B,A,A,31,56,13,Podcasts,"Frontend Crash Course, Cybersecurity Basics",Clean Code,"medium.com, geeksforgeeks.org"
5318,First Year (FE),Information Technology,"HTML, React, Docker",C,B,A,C,A,A,C,C,C,C,11,77,12,Podcasts,"AWS Cloud Essentials, Cybersecurity Basics","You Don’t Know JS, AI: A Modern Approach",medium.com
5319,Third Year (TE),Electronics and Computer Engineering,"Java, HTML, Figma",B,A,A,A,B,C,C,A,B,B,43,47,10,Podcasts,Cybersecurity Basics,Design Patterns,towardsdatascience.com
5320,Third Year (TE),Computer Science Engineering,"Figma, Python, CSS, SQL, JavaScript",A,A,A,C,A,A,C,A,A,C,56,14,30,Videos,ML Bootcamp,"Design Patterns, You Don’t Know JS","freecodecamp.org, medium.com"
5321,Final Year (BE),Electronics and Computer Engineering,"Figma, Python, SQL",C,C,C,C,A,C,C,B,A,B,14,24,62,Projects,"Intro to DSA, Cybersecurity Basics","Clean Code, Python Crash Course","towardsdatascience.com, freecodecamp.org"
5322,Final Year (BE),Information Technology,"C++, React, Linux, JavaScript, Docker",A,A,B,B,A,C,C,B,B,A,23,21,56,Projects,"Frontend Crash Course, Intro to DSA",Clean Code,dev.to
5323,Third Year (TE),Artificial Intelligence and Machine Learning,"AWS, React, Figma, Linux, HTML",A,C,C,C,C,B,A,B,C,C,49,11,40,Videos,"Cybersecurity Basics, AWS Cloud Essentials","Design Patterns, You Don’t Know JS","medium.com, freecodecamp.org"
5324,Final Year (BE),Electronics and Computer Engineering,"Linux, Figma, C++, AWS, Java",C,A,B,B,C,A,B,A,A,A,12,37,51,Projects,"Frontend Crash Course, Intro to DSA, ML Bootcamp","Python Crash Course, You Don’t Know JS",dev.to
5325,Third Year (TE),Information Technology,"Linux, Docker, HTML",C,A,C,A,B,B,A,B,B,B,48,50,2,Podcasts,"Intro to DSA, AWS Cloud Essentials","AI: A Modern Approach, You Don’t Know JS",dev.to
5326,Second Year (SE),Electronics and Computer Engineering,"Figma, CSS, C++, HTML, AWS",C,B,C,C,A,B,C,B,B,A,55,19,26,Videos,"Cybersecurity Basics, Intro to DSA, Frontend Crash Course","Clean Code, Python Crash Course","dev.to, freecodecamp.org"
5327,First Year (FE),Electronics and Computer Engineering,"JavaScript, Python, C++",A,A,A,C,A,C,A,A,B,B,55,15,30,Videos,"ML Bootcamp, Frontend Crash Course, Intro to DSA","Python Crash Course, Clean Code",freecodecamp.org
5328,Third Year (TE),Information Technology,"Docker, CSS, Python, HTML",B,B,B,A,A,B,A,B,C,A,51,35,14,Videos,"Cybersecurity Basics, AWS Cloud Essentials","Clean Code, Python Crash Course",towardsdatascience.com
5329,Final Year (BE),Information Technology,"React, Docker, Java, AWS, Linux",B,B,B,B,B,B,C,C,A,C,24,49,27,Podcasts,"Intro to DSA, ML Bootcamp, Cybersecurity Basics",AI: A Modern Approach,"dev.to, geeksforgeeks.org"
5330,Third Year (TE),Artificial Intelligence and Machine Learning,"Figma, AWS, SQL, Python, React",A,A,A,B,B,B,B,C,C,A,21,44,35,Podcasts,"AWS Cloud Essentials, Frontend Crash Course, Intro to DSA","You Don’t Know JS, Clean Code","towardsdatascience.com, dev.to"
5331,Third Year (TE),Electronics & Communication,"HTML, C++, Python, Docker",A,A,B,A,A,A,C,B,C,A,38,41,21,Podcasts,"Cybersecurity Basics, Frontend Crash Course, AWS Cloud Essentials","Clean Code, Python Crash Course",towardsdatascience.com
5332,Final Year (BE),Computer Science Engineering,"C++, Java, Figma",A,B,C,A,B,C,A,A,C,C,38,28,34,Videos,"AWS Cloud Essentials, Intro to DSA",AI: A Modern Approach,dev.to
5333,First Year (FE),Computer Science Engineering,"JavaScript, Python",A,C,A,B,A,A,B,C,C,C,47,35,18,Videos,Cybersecurity Basics,"Design Patterns, AI: A Modern Approach","geeksforgeeks.org, medium.com"
5334,Third Year (TE),Artificial Intelligence and Machine Learning,"SQL, HTML, Python, Java",B,C,C,A,A,A,C,B,B,A,30,36,34,Podcasts,"AWS Cloud Essentials, Frontend Crash Course, Intro to DSA","Python Crash Course, AI: A Modern Approach",geeksforgeeks.org
5335,Second Year (SE),Electronics and Computer Engineering,"React, Java, AWS, Python, Docker",C,A,C,B,B,B,C,B,A,B,17,33,50,Projects,ML Bootcamp,Clean Code,towardsdatascience.com
5336,Final Year (BE),Electronics and Computer Engineering,"CSS, C++, SQL, Linux",B,B,C,A,B,B,C,B,A,A,15,36,49,Projects,Intro to DSA,"You Don’t Know JS, Clean Code","towardsdatascience.com, freecodecamp.org"
5337,Third Year (TE),Information Technology,"React, CSS",C,B,A,B,C,B,B,A,A,B,32,48,20,Podcasts,"ML Bootcamp, Intro to DSA, Cybersecurity Basics",You Don’t Know JS,"medium.com, freecodecamp.org"
5338,First Year (FE),Computer Science Engineering,"HTML, C++",A,B,C,C,B,A,B,C,C,C,41,23,36,Videos,"AWS Cloud Essentials, Intro to DSA","AI: A Modern Approach, Design Patterns",towardsdatascience.com
5339,First Year (FE),Computer Science Engineering,"C++, Docker, React",C,C,B,B,B,A,C,A,C,A,31,23,46,Projects,"Cybersecurity Basics, ML Bootcamp","AI: A Modern Approach, Clean Code","dev.to, towardsdatascience.com"
5340,First Year (FE),Artificial Intelligence and Machine Learning,"Python, HTML, SQL, Linux",A,A,B,A,C,A,A,B,A,B,33,64,3,Podcasts,"Cybersecurity Basics, Intro to DSA","Python Crash Course, You Don’t Know JS",freecodecamp.org
5341,Third Year (TE),Electronics and Computer Engineering,"HTML, Figma, React, Linux",C,B,B,A,A,B,A,A,A,B,23,28,49,Projects,"Intro to DSA, Cybersecurity Basics","Python Crash Course, AI: A Modern Approach",dev.to
5342,First Year (FE),Electronics and Computer Engineering,"React, JavaScript",C,A,C,A,A,A,B,A,A,B,13,72,15,Podcasts,"AWS Cloud Essentials, Frontend Crash Course","Clean Code, Design Patterns",medium.com
5343,Third Year (TE),Information Technology,"CSS, SQL, Figma, HTML, Linux",A,B,A,B,A,C,B,B,B,C,49,10,41,Videos,"Intro to DSA, Frontend Crash Course, ML Bootcamp",Clean Code,"geeksforgeeks.org, towardsdatascience.com"
5344,Third Year (TE),Information Technology,"Figma, Python",C,A,A,C,B,A,C,C,B,A,47,41,12,Videos,Cybersecurity Basics,"Design Patterns, Clean Code",medium.com
5345,First Year (FE),Artificial Intelligence and Machine Learning,"SQL, JavaScript, Java",B,B,A,A,A,C,C,B,B,A,49,34,17,Videos,"AWS Cloud Essentials, Frontend Crash Course","Design Patterns, You Don’t Know JS","dev.to, freecodecamp.org"
5346,Second Year (SE),Artificial Intelligence and Machine Learning,"Docker, Figma, React, AWS, Java",A,B,C,C,A,B,A,B,A,B,11,87,2,Podcasts,Cybersecurity Basics,"Python Crash Course, You Don’t Know JS","freecodecamp.org, medium.com"
5347,Third Year (TE),Electronics & Communication,"C++, HTML",A,B,A,B,A,B,B,A,B,C,60,32,8,Videos,"Frontend Crash Course, AWS Cloud Essentials, Intro to DSA",You Don’t Know JS,dev.to
5348,Third Year (TE),Information Technology,"JavaScript, Python",B,C,B,B,C,A,A,B,C,A,45,39,16,Videos,"Frontend Crash Course, AWS Cloud Essentials, Cybersecurity Basics",Python Crash Course,dev.to
5349,Second Year (SE),Electronics and Computer Engineering,"Java, SQL, Figma",B,A,C,C,A,A,C,C,A,A,30,60,10,Podcasts,"Cybersecurity Basics, AWS Cloud Essentials",AI: A Modern Approach,"geeksforgeeks.org, freecodecamp.org"
5350,Third Year (TE),Computer Science Engineering,"Docker, CSS",A,A,A,B,B,A,B,C,A,A,35,28,37,Projects,Cybersecurity Basics,You Don’t Know JS,"towardsdatascience.com, geeksforgeeks.org"
5351,Final Year (BE),Computer Science Engineering,"Figma, HTML",B,B,B,C,A,B,C,A,B,C,49,28,23,Videos,ML Bootcamp,Clean Code,"dev.to, towardsdatascience.com"
5352,Final Year (BE),Computer Science Engineering,"AWS, Linux",B,B,A,A,A,C,C,B,C,B,11,19,70,Projects,"Cybersecurity Basics, Frontend Crash Course, Intro to DSA","AI: A Modern Approach, Python Crash Course",dev.to
5353,Final Year (BE),Electronics and Computer Engineering,"React, JavaScript, AWS, Docker, Figma",C,B,A,C,C,B,A,A,C,B,47,38,15,Videos,"ML Bootcamp, Cybersecurity Basics, Intro to DSA",Design Patterns,"medium.com, dev.to"
5354,Second Year (SE),Electronics and Computer Engineering,"HTML, JavaScript, Python, React, C++",B,B,B,B,C,A,B,B,A,C,52,11,37,Videos,"Intro to DSA, ML Bootcamp",Design Patterns,towardsdatascience.com
5355,Second Year (SE),Computer Science Engineering,"Figma, Python, HTML, SQL, JavaScript",A,A,C,C,B,A,A,B,B,C,47,14,39,Videos,ML Bootcamp,You Don’t Know JS,"geeksforgeeks.org, dev.to"
5356,Second Year (SE),Electronics & Communication,"C++, Linux",A,A,A,C,B,A,C,B,C,C,14,75,11,Podcasts,"AWS Cloud Essentials, Intro to DSA, Cybersecurity Basics",Design Patterns,"medium.com, towardsdatascience.com"
5357,Final Year (BE),Electronics and Computer Engineering,"HTML, SQL, Linux",A,C,A,B,B,C,B,A,B,C,16,46,38,Podcasts,"Frontend Crash Course, AWS Cloud Essentials, ML Bootcamp","You Don’t Know JS, AI: A Modern Approach",dev.to
5358,Final Year (BE),Artificial Intelligence and Machine Learning,"CSS, JavaScript, Linux",B,B,A,C,B,A,B,A,A,C,26,19,55,Projects,"Intro to DSA, AWS Cloud Essentials",Python Crash Course,"geeksforgeeks.org, towardsdatascience.com"
5359,Third Year (TE),Information Technology,"Figma, Docker, AWS",C,C,B,C,C,A,C,B,B,B,54,25,21,Videos,Cybersecurity Basics,"Python Crash Course, You Don’t Know JS",towardsdatascience.com
5360,Third Year (TE),Electronics & Communication,"Java, C++, Linux",A,B,C,B,A,A,C,A,A,C,32,34,34,Podcasts,"Intro to DSA, AWS Cloud Essentials",Clean Code,"towardsdatascience.com, geeksforgeeks.org"
5361,First Year (FE),Computer Science Engineering,"Python, HTML",C,C,B,C,C,A,A,B,B,B,56,20,24,Videos,"Frontend Crash Course, Cybersecurity Basics","Clean Code, You Don’t Know JS","freecodecamp.org, towardsdatascience.com"
5362,Second Year (SE),Electronics & Communication,"Java, Figma",A,C,C,C,A,C,B,C,A,C,19,51,30,Podcasts,"Frontend Crash Course, ML Bootcamp, Cybersecurity Basics",AI: A Modern Approach,freecodecamp.org
5363,Third Year (TE),Electronics & Communication,"Linux, Python, Java, SQL",A,A,B,A,A,A,B,A,B,A,34,34,32,Videos,"Frontend Crash Course, ML Bootcamp, Cybersecurity Basics","Python Crash Course, AI: A Modern Approach","medium.com, towardsdatascience.com"
5364,First Year (FE),Electronics & Communication,"JavaScript, Docker, Linux, SQL, React",B,B,C,C,A,A,A,B,A,B,41,32,27,Videos,Cybersecurity Basics,"AI: A Modern Approach, You Don’t Know JS",dev.to
5365,Second Year (SE),Electronics and Computer Engineering,"AWS, React",C,A,B,C,A,A,C,B,A,A,49,13,38,Videos,Frontend Crash Course,"Clean Code, You Don’t Know JS","geeksforgeeks.org, freecodecamp.org"
5366,Final Year (BE),Electronics & Communication,"Docker, Linux, Java, CSS",B,A,A,B,B,A,C,C,B,C,47,39,14,Videos,AWS Cloud Essentials,AI: A Modern Approach,"medium.com, dev.to"
5367,Final Year (BE),Artificial Intelligence and Machine Learning,"React, CSS, C++, Java",A,A,A,B,C,B,B,A,B,A,43,51,6,Podcasts,Intro to DSA,"Python Crash Course, AI: A Modern Approach","medium.com, towardsdatascience.com"
5368,Final Year (BE),Information Technology,"SQL, React, CSS",A,C,C,B,C,C,B,B,A,A,45,12,43,Videos,"Cybersecurity Basics, Frontend Crash Course, Intro to DSA","You Don’t Know JS, Design Patterns",medium.com
5369,First Year (FE),Artificial Intelligence and Machine Learning,"Linux, Python",A,C,B,A,C,A,A,B,C,B,38,37,25,Videos,"Frontend Crash Course, AWS Cloud Essentials","AI: A Modern Approach, Python Crash Course",freecodecamp.org
5370,Second Year (SE),Electronics and Computer Engineering,"React, Figma",A,A,B,B,C,C,B,A,C,A,45,53,2,Podcasts,"Frontend Crash Course, ML Bootcamp, AWS Cloud Essentials","Python Crash Course, Design Patterns","medium.com, towardsdatascience.com"
5371,First Year (FE),Electronics & Communication,"React, CSS, Linux, Figma, C++",A,B,C,B,B,B,A,B,B,B,11,36,53,Projects,Intro to DSA,"Clean Code, You Don’t Know JS","medium.com, freecodecamp.org"
5372,Third Year (TE),Computer Science Engineering,"AWS, JavaScript, SQL, CSS, Java",C,B,B,B,C,C,B,A,A,C,17,31,52,Projects,"Cybersecurity Basics, AWS Cloud Essentials, ML Bootcamp",Design Patterns,towardsdatascience.com
